age	sex	cancer	organ	gene	time_years	events_cases	air
25	FEMALE	153	Colon	MSH2	537	2	0.0037243947858473
30	FEMALE	153	Colon	MSH2	733	5	0.00682128240109141
35	FEMALE	153	Colon	MSH2	914	3	0.00328227571115974
40	FEMALE	153	Colon	MSH2	976	11	0.0112704918032787
45	FEMALE	153	Colon	MSH2	993	12	0.0120845921450151
50	FEMALE	153	Colon	MSH2	969	10	0.0103199174406605
55	FEMALE	153	Colon	MSH2	885	7	0.00790960451977401
60	FEMALE	153	Colon	MSH2	680	14	0.0205882352941176
65	FEMALE	153	Colon	MSH2	440	8	0.0181818181818182
70	FEMALE	153	Colon	MSH2	241	2	0.00829875518672199
75	FEMALE	153	Colon	MSH2	121	5	0.0413223140495868
25	FEMALE	153	Colon	MSH6	69	0	0
30	FEMALE	153	Colon	MSH6	136	0	0
35	FEMALE	153	Colon	MSH6	217	1	0.00460829493087558
40	FEMALE	153	Colon	MSH6	276	1	0.0036231884057971
45	FEMALE	153	Colon	MSH6	305	0	0
50	FEMALE	153	Colon	MSH6	343	1	0.00291545189504373
55	FEMALE	153	Colon	MSH6	336	1	0.00297619047619048
60	FEMALE	153	Colon	MSH6	282	3	0.0106382978723404
65	FEMALE	153	Colon	MSH6	206	2	0.00970873786407767
70	FEMALE	153	Colon	MSH6	135	1	0.00740740740740741
75	FEMALE	153	Colon	MSH6	92	1	0.0108695652173913
25	FEMALE	153	Colon	PMS2	33	0	0
30	FEMALE	153	Colon	PMS2	39	0	0
35	FEMALE	153	Colon	PMS2	78	0	0
40	FEMALE	153	Colon	PMS2	85	0	0
45	FEMALE	153	Colon	PMS2	95	0	0
50	FEMALE	153	Colon	PMS2	124	0	0
55	FEMALE	153	Colon	PMS2	146	0	0
60	FEMALE	153	Colon	PMS2	146	0	0
65	FEMALE	153	Colon	PMS2	108	1	0.00925925925925926
70	FEMALE	153	Colon	PMS2	46	0	0
75	FEMALE	153	Colon	PMS2	22	0	0
25	FEMALE	191	Brain	MLH1	723	0	0
30	FEMALE	191	Brain	MLH1	1058	0	0
35	FEMALE	191	Brain	MLH1	1414	1	0.000707213578500707
40	FEMALE	191	Brain	MLH1	1686	0	0
45	FEMALE	191	Brain	MLH1	1746	1	0.000572737686139748
50	FEMALE	191	Brain	MLH1	1662	1	0.000601684717208183
55	FEMALE	191	Brain	MLH1	1409	0	0
60	FEMALE	191	Brain	MLH1	1155	0	0
65	FEMALE	191	Brain	MLH1	787	1	0.00127064803049555
70	FEMALE	191	Brain	MLH1	538	0	0
75	FEMALE	191	Brain	MLH1	383	0	0
25	FEMALE	191	Brain	MSH2	576	0	0
30	FEMALE	191	Brain	MSH2	781	1	0.00128040973111396
35	FEMALE	191	Brain	MSH2	1027	0	0
40	FEMALE	191	Brain	MSH2	1284	0	0
45	FEMALE	191	Brain	MSH2	1396	0	0
50	FEMALE	191	Brain	MSH2	1396	1	0.000716332378223496
55	FEMALE	191	Brain	MSH2	1334	1	0.000749625187406297
60	FEMALE	191	Brain	MSH2	1137	1	0.000879507475813544
65	FEMALE	191	Brain	MSH2	775	0	0
70	FEMALE	191	Brain	MSH2	461	1	0.00216919739696312
75	FEMALE	191	Brain	MSH2	241	0	0
25	FEMALE	191	Brain	MSH6	74	0	0
30	FEMALE	191	Brain	MSH6	137	0	0
35	FEMALE	191	Brain	MSH6	225	0	0
40	FEMALE	191	Brain	MSH6	312	0	0
45	FEMALE	191	Brain	MSH6	349	0	0
50	FEMALE	191	Brain	MSH6	394	0	0
55	FEMALE	191	Brain	MSH6	407	1	0.00245700245700246
60	FEMALE	191	Brain	MSH6	379	0	0
65	FEMALE	191	Brain	MSH6	291	0	0
70	FEMALE	191	Brain	MSH6	193	0	0
75	FEMALE	191	Brain	MSH6	120	0	0
25	FEMALE	191	Brain	PMS2	34	0	0
30	FEMALE	191	Brain	PMS2	41	0	0
35	FEMALE	191	Brain	PMS2	82	0	0
40	FEMALE	191	Brain	PMS2	99	0	0
45	FEMALE	191	Brain	PMS2	138	0	0
50	FEMALE	191	Brain	PMS2	176	0	0
55	FEMALE	191	Brain	PMS2	215	0	0
60	FEMALE	191	Brain	PMS2	195	0	0
65	FEMALE	191	Brain	PMS2	145	0	0
70	FEMALE	191	Brain	PMS2	69	0	0
75	FEMALE	191	Brain	PMS2	39	0	0
25	FEMALE	157	Pancreas	MLH1	723	0	0
30	FEMALE	157	Pancreas	MLH1	1055	1	0.000947867298578199
35	FEMALE	157	Pancreas	MLH1	1410	0	0
40	FEMALE	157	Pancreas	MLH1	1688	1	0.000592417061611374
45	FEMALE	157	Pancreas	MLH1	1751	0	0
50	FEMALE	157	Pancreas	MLH1	1662	2	0.00120336943441637
55	FEMALE	157	Pancreas	MLH1	1402	0	0
60	FEMALE	157	Pancreas	MLH1	1156	1	0.000865051903114187
65	FEMALE	157	Pancreas	MLH1	792	1	0.00126262626262626
70	FEMALE	157	Pancreas	MLH1	537	2	0.0037243947858473
75	FEMALE	157	Pancreas	MLH1	382	0	0
25	FEMALE	157	Pancreas	MSH2	576	0	0
30	FEMALE	157	Pancreas	MSH2	782	0	0
35	FEMALE	157	Pancreas	MSH2	1031	0	0
40	FEMALE	157	Pancreas	MSH2	1281	0	0
45	FEMALE	157	Pancreas	MSH2	1391	1	0.000718907260963336
50	FEMALE	157	Pancreas	MSH2	1393	0	0
55	FEMALE	157	Pancreas	MSH2	1333	1	0.000750187546886722
60	FEMALE	157	Pancreas	MSH2	1135	2	0.00176211453744493
65	FEMALE	157	Pancreas	MSH2	773	2	0.00258732212160414
70	FEMALE	157	Pancreas	MSH2	458	1	0.00218340611353712
75	FEMALE	157	Pancreas	MSH2	244	1	0.00409836065573771
25	FEMALE	157	Pancreas	MSH6	74	0	0
30	FEMALE	157	Pancreas	MSH6	137	0	0
35	FEMALE	157	Pancreas	MSH6	225	0	0
40	FEMALE	157	Pancreas	MSH6	312	0	0
45	FEMALE	157	Pancreas	MSH6	349	0	0
50	FEMALE	157	Pancreas	MSH6	394	0	0
55	FEMALE	157	Pancreas	MSH6	407	0	0
60	FEMALE	157	Pancreas	MSH6	379	0	0
65	FEMALE	157	Pancreas	MSH6	295	1	0.00338983050847458
70	FEMALE	157	Pancreas	MSH6	198	0	0
75	FEMALE	157	Pancreas	MSH6	119	0	0
25	FEMALE	157	Pancreas	PMS2	34	0	0
30	FEMALE	157	Pancreas	PMS2	41	0	0
35	FEMALE	157	Pancreas	PMS2	82	0	0
40	FEMALE	157	Pancreas	PMS2	99	0	0
45	FEMALE	157	Pancreas	PMS2	138	0	0
50	FEMALE	157	Pancreas	PMS2	176	0	0
55	FEMALE	157	Pancreas	PMS2	215	0	0
60	FEMALE	157	Pancreas	PMS2	195	0	0
65	FEMALE	157	Pancreas	PMS2	145	0	0
70	FEMALE	157	Pancreas	PMS2	69	0	0
75	FEMALE	157	Pancreas	PMS2	39	0	0
25	FEMALE	151	Stomach	MLH1	723	0	0
30	FEMALE	151	Stomach	MLH1	1058	0	0
35	FEMALE	151	Stomach	MLH1	1414	1	0.000707213578500707
40	FEMALE	151	Stomach	MLH1	1689	0	0
45	FEMALE	151	Stomach	MLH1	1754	0	0
50	FEMALE	151	Stomach	MLH1	1666	0	0
55	FEMALE	151	Stomach	MLH1	1408	1	0.000710227272727273
60	FEMALE	151	Stomach	MLH1	1149	0	0
65	FEMALE	151	Stomach	MLH1	782	1	0.00127877237851662
70	FEMALE	151	Stomach	MLH1	535	0	0
75	FEMALE	151	Stomach	MLH1	381	0	0
25	FEMALE	151	Stomach	MSH2	576	0	0
30	FEMALE	151	Stomach	MSH2	782	0	0
35	FEMALE	151	Stomach	MSH2	1031	0	0
40	FEMALE	151	Stomach	MSH2	1282	0	0
45	FEMALE	151	Stomach	MSH2	1386	1	0.000721500721500722
50	FEMALE	151	Stomach	MSH2	1390	2	0.00143884892086331
55	FEMALE	151	Stomach	MSH2	1316	1	0.000759878419452888
60	FEMALE	151	Stomach	MSH2	1120	2	0.00178571428571429
65	FEMALE	151	Stomach	MSH2	755	0	0
70	FEMALE	151	Stomach	MSH2	449	1	0.0022271714922049
75	FEMALE	151	Stomach	MSH2	242	2	0.00826446280991736
25	FEMALE	151	Stomach	MSH6	74	0	0
30	FEMALE	151	Stomach	MSH6	133	0	0
35	FEMALE	151	Stomach	MSH6	221	0	0
40	FEMALE	151	Stomach	MSH6	312	0	0
45	FEMALE	151	Stomach	MSH6	349	0	0
50	FEMALE	151	Stomach	MSH6	394	0	0
55	FEMALE	151	Stomach	MSH6	407	0	0
60	FEMALE	151	Stomach	MSH6	379	0	0
65	FEMALE	151	Stomach	MSH6	290	0	0
70	FEMALE	151	Stomach	MSH6	198	0	0
75	FEMALE	151	Stomach	MSH6	120	0	0
25	FEMALE	151	Stomach	PMS2	34	0	0
30	FEMALE	151	Stomach	PMS2	41	0	0
35	FEMALE	151	Stomach	PMS2	82	0	0
40	FEMALE	151	Stomach	PMS2	99	0	0
45	FEMALE	151	Stomach	PMS2	138	0	0
50	FEMALE	151	Stomach	PMS2	176	0	0
55	FEMALE	151	Stomach	PMS2	215	0	0
60	FEMALE	151	Stomach	PMS2	195	0	0
65	FEMALE	151	Stomach	PMS2	145	0	0
70	FEMALE	151	Stomach	PMS2	69	0	0
75	FEMALE	151	Stomach	PMS2	39	0	0
25	FEMALE	152	Duodenum	MLH1	718	0	0
30	FEMALE	152	Duodenum	MLH1	1057	0	0
35	FEMALE	152	Duodenum	MLH1	1414	1	0.000707213578500707
40	FEMALE	152	Duodenum	MLH1	1684	0	0
45	FEMALE	152	Duodenum	MLH1	1747	0	0
50	FEMALE	152	Duodenum	MLH1	1651	4	0.00242277407631738
55	FEMALE	152	Duodenum	MLH1	1390	0	0
60	FEMALE	152	Duodenum	MLH1	1147	0	0
65	FEMALE	152	Duodenum	MLH1	781	3	0.00384122919334187
70	FEMALE	152	Duodenum	MLH1	526	1	0.00190114068441065
75	FEMALE	152	Duodenum	MLH1	370	0	0
25	FEMALE	152	Duodenum	MSH2	576	0	0
30	FEMALE	152	Duodenum	MSH2	782	0	0
35	FEMALE	152	Duodenum	MSH2	1031	0	0
40	FEMALE	152	Duodenum	MSH2	1280	3	0.00234375
45	FEMALE	152	Duodenum	MSH2	1385	1	0.000722021660649819
50	FEMALE	152	Duodenum	MSH2	1391	1	0.000718907260963336
55	FEMALE	152	Duodenum	MSH2	1324	1	0.000755287009063444
60	FEMALE	152	Duodenum	MSH2	1118	2	0.00178890876565295
65	FEMALE	152	Duodenum	MSH2	761	1	0.00131406044678055
70	FEMALE	152	Duodenum	MSH2	454	0	0
75	FEMALE	152	Duodenum	MSH2	240	1	0.00416666666666667
25	FEMALE	152	Duodenum	MSH6	74	0	0
30	FEMALE	152	Duodenum	MSH6	137	0	0
35	FEMALE	152	Duodenum	MSH6	225	0	0
40	FEMALE	152	Duodenum	MSH6	312	0	0
45	FEMALE	152	Duodenum	MSH6	349	0	0
50	FEMALE	152	Duodenum	MSH6	394	0	0
55	FEMALE	152	Duodenum	MSH6	407	0	0
60	FEMALE	152	Duodenum	MSH6	379	0	0
65	FEMALE	152	Duodenum	MSH6	295	0	0
70	FEMALE	152	Duodenum	MSH6	197	1	0.0050761421319797
75	FEMALE	152	Duodenum	MSH6	120	0	0
25	FEMALE	152	Duodenum	PMS2	34	0	0
30	FEMALE	152	Duodenum	PMS2	41	0	0
35	FEMALE	152	Duodenum	PMS2	82	0	0
40	FEMALE	152	Duodenum	PMS2	99	0	0
45	FEMALE	152	Duodenum	PMS2	138	0	0
50	FEMALE	152	Duodenum	PMS2	176	0	0
55	FEMALE	152	Duodenum	PMS2	213	0	0
60	FEMALE	152	Duodenum	PMS2	191	1	0.00523560209424084
65	FEMALE	152	Duodenum	PMS2	145	0	0
70	FEMALE	152	Duodenum	PMS2	69	0	0
75	FEMALE	152	Duodenum	PMS2	39	0	0
25	FEMALE	156	Bile duct/gall bladder	MLH1	723	0	0
30	FEMALE	156	Bile duct/gall bladder	MLH1	1058	0	0
35	FEMALE	156	Bile duct/gall bladder	MLH1	1415	0	0
40	FEMALE	156	Bile duct/gall bladder	MLH1	1689	0	0
45	FEMALE	156	Bile duct/gall bladder	MLH1	1754	1	0.000570125427594071
50	FEMALE	156	Bile duct/gall bladder	MLH1	1667	1	0.000599880023995201
55	FEMALE	156	Bile duct/gall bladder	MLH1	1409	1	0.0007097232079489
60	FEMALE	156	Bile duct/gall bladder	MLH1	1154	1	0.000866551126516464
65	FEMALE	156	Bile duct/gall bladder	MLH1	787	0	0
70	FEMALE	156	Bile duct/gall bladder	MLH1	537	0	0
75	FEMALE	156	Bile duct/gall bladder	MLH1	377	1	0.0026525198938992
25	FEMALE	156	Bile duct/gall bladder	MSH2	576	0	0
30	FEMALE	156	Bile duct/gall bladder	MSH2	782	0	0
35	FEMALE	156	Bile duct/gall bladder	MSH2	1031	0	0
40	FEMALE	156	Bile duct/gall bladder	MSH2	1284	0	0
45	FEMALE	156	Bile duct/gall bladder	MSH2	1396	0	0
50	FEMALE	156	Bile duct/gall bladder	MSH2	1392	3	0.0021551724137931
55	FEMALE	156	Bile duct/gall bladder	MSH2	1328	0	0
60	FEMALE	156	Bile duct/gall bladder	MSH2	1138	0	0
65	FEMALE	156	Bile duct/gall bladder	MSH2	777	0	0
70	FEMALE	156	Bile duct/gall bladder	MSH2	460	2	0.00434782608695652
75	FEMALE	156	Bile duct/gall bladder	MSH2	245	0	0
25	FEMALE	156	Bile duct/gall bladder	MSH6	74	0	0
30	FEMALE	156	Bile duct/gall bladder	MSH6	137	0	0
35	FEMALE	156	Bile duct/gall bladder	MSH6	225	0	0
40	FEMALE	156	Bile duct/gall bladder	MSH6	312	0	0
45	FEMALE	156	Bile duct/gall bladder	MSH6	349	0	0
50	FEMALE	156	Bile duct/gall bladder	MSH6	394	0	0
55	FEMALE	156	Bile duct/gall bladder	MSH6	407	0	0
60	FEMALE	156	Bile duct/gall bladder	MSH6	378	0	0
65	FEMALE	156	Bile duct/gall bladder	MSH6	290	0	0
70	FEMALE	156	Bile duct/gall bladder	MSH6	196	0	0
75	FEMALE	156	Bile duct/gall bladder	MSH6	120	0	0
25	FEMALE	156	Bile duct/gall bladder	PMS2	34	0	0
30	FEMALE	156	Bile duct/gall bladder	PMS2	41	0	0
35	FEMALE	156	Bile duct/gall bladder	PMS2	82	0	0
40	FEMALE	156	Bile duct/gall bladder	PMS2	99	0	0
45	FEMALE	156	Bile duct/gall bladder	PMS2	138	0	0
50	FEMALE	156	Bile duct/gall bladder	PMS2	176	0	0
55	FEMALE	156	Bile duct/gall bladder	PMS2	215	0	0
60	FEMALE	156	Bile duct/gall bladder	PMS2	195	0	0
65	FEMALE	156	Bile duct/gall bladder	PMS2	145	0	0
70	FEMALE	156	Bile duct/gall bladder	PMS2	69	0	0
75	FEMALE	156	Bile duct/gall bladder	PMS2	39	0	0
25	FEMALE	182	Endometrium	MLH1	715	0	0
30	FEMALE	182	Endometrium	MLH1	1041	0	0
35	FEMALE	182	Endometrium	MLH1	1320	5	0.00378787878787879
40	FEMALE	182	Endometrium	MLH1	1378	16	0.011611030478955
45	FEMALE	182	Endometrium	MLH1	1176	19	0.016156462585034
50	FEMALE	182	Endometrium	MLH1	876	22	0.0251141552511416
55	FEMALE	182	Endometrium	MLH1	606	4	0.0066006600660066
60	FEMALE	182	Endometrium	MLH1	474	6	0.0126582278481013
65	FEMALE	182	Endometrium	MLH1	294	3	0.0102040816326531
70	FEMALE	182	Endometrium	MLH1	179	1	0.00558659217877095
75	FEMALE	182	Endometrium	MLH1	136	3	0.0220588235294118
25	FEMALE	182	Endometrium	MSH2	570	0	0
30	FEMALE	182	Endometrium	MSH2	769	2	0.00260078023407022
35	FEMALE	182	Endometrium	MSH2	944	2	0.00211864406779661
40	FEMALE	182	Endometrium	MSH2	972	11	0.0113168724279835
45	FEMALE	182	Endometrium	MSH2	812	18	0.0221674876847291
50	FEMALE	182	Endometrium	MSH2	550	24	0.0436363636363636
55	FEMALE	182	Endometrium	MSH2	407	5	0.0122850122850123
60	FEMALE	182	Endometrium	MSH2	322	3	0.0093167701863354
65	FEMALE	182	Endometrium	MSH2	200	4	0.02
70	FEMALE	182	Endometrium	MSH2	107	1	0.00934579439252336
75	FEMALE	182	Endometrium	MSH2	55	0	0
25	FEMALE	182	Endometrium	MSH6	73	0	0
30	FEMALE	182	Endometrium	MSH6	137	0	0
35	FEMALE	182	Endometrium	MSH6	219	1	0.0045662100456621
40	FEMALE	182	Endometrium	MSH6	292	2	0.00684931506849315
45	FEMALE	182	Endometrium	MSH6	262	4	0.0152671755725191
50	FEMALE	182	Endometrium	MSH6	224	5	0.0223214285714286
55	FEMALE	182	Endometrium	MSH6	176	3	0.0170454545454545
60	FEMALE	182	Endometrium	MSH6	137	4	0.0291970802919708
65	FEMALE	182	Endometrium	MSH6	105	1	0.00952380952380952
70	FEMALE	182	Endometrium	MSH6	49	0	0
75	FEMALE	182	Endometrium	MSH6	26	0	0
25	FEMALE	182	Endometrium	PMS2	34	0	0
30	FEMALE	182	Endometrium	PMS2	41	0	0
35	FEMALE	182	Endometrium	PMS2	77	0	0
40	FEMALE	182	Endometrium	PMS2	92	0	0
45	FEMALE	182	Endometrium	PMS2	115	0	0
50	FEMALE	182	Endometrium	PMS2	140	1	0.00714285714285714
55	FEMALE	182	Endometrium	PMS2	162	2	0.0123456790123457
60	FEMALE	182	Endometrium	PMS2	128	1	0.0078125
65	FEMALE	182	Endometrium	PMS2	75	0	0
70	FEMALE	182	Endometrium	PMS2	42	0	0
75	FEMALE	182	Endometrium	PMS2	20	0	0
25	FEMALE	183	Ovaries	MLH1	715	0	0
30	FEMALE	183	Ovaries	MLH1	1041	1	0.000960614793467819
35	FEMALE	183	Ovaries	MLH1	1310	4	0.00305343511450382
40	FEMALE	183	Ovaries	MLH1	1379	4	0.00290065264684554
45	FEMALE	183	Ovaries	MLH1	1222	7	0.00572831423895254
50	FEMALE	183	Ovaries	MLH1	943	4	0.00424178154825027
55	FEMALE	183	Ovaries	MLH1	680	3	0.00441176470588235
60	FEMALE	183	Ovaries	MLH1	523	1	0.00191204588910134
65	FEMALE	183	Ovaries	MLH1	325	0	0
70	FEMALE	183	Ovaries	MLH1	197	0	0
75	FEMALE	183	Ovaries	MLH1	149	0	0
25	FEMALE	183	Ovaries	MSH2	570	0	0
30	FEMALE	183	Ovaries	MSH2	767	1	0.00130378096479791
35	FEMALE	183	Ovaries	MSH2	947	3	0.00316789862724393
40	FEMALE	183	Ovaries	MSH2	986	9	0.00912778904665314
45	FEMALE	183	Ovaries	MSH2	834	7	0.00839328537170264
50	FEMALE	183	Ovaries	MSH2	632	3	0.00474683544303797
55	FEMALE	183	Ovaries	MSH2	495	0	0
60	FEMALE	183	Ovaries	MSH2	371	1	0.00269541778975741
65	FEMALE	183	Ovaries	MSH2	229	2	0.00873362445414847
70	FEMALE	183	Ovaries	MSH2	112	0	0
75	FEMALE	183	Ovaries	MSH2	62	0	0
25	FEMALE	183	Ovaries	MSH6	73	0	0
30	FEMALE	183	Ovaries	MSH6	137	0	0
35	FEMALE	183	Ovaries	MSH6	215	1	0.00465116279069767
40	FEMALE	183	Ovaries	MSH6	288	0	0
45	FEMALE	183	Ovaries	MSH6	272	0	0
50	FEMALE	183	Ovaries	MSH6	247	0	0
55	FEMALE	183	Ovaries	MSH6	198	0	0
60	FEMALE	183	Ovaries	MSH6	146	0	0
65	FEMALE	183	Ovaries	MSH6	111	2	0.018018018018018
70	FEMALE	183	Ovaries	MSH6	52	0	0
75	FEMALE	183	Ovaries	MSH6	26	0	0
25	FEMALE	183	Ovaries	PMS2	34	0	0
30	FEMALE	183	Ovaries	PMS2	41	0	0
35	FEMALE	183	Ovaries	PMS2	77	0	0
40	FEMALE	183	Ovaries	PMS2	92	0	0
45	FEMALE	183	Ovaries	PMS2	115	0	0
50	FEMALE	183	Ovaries	PMS2	143	0	0
55	FEMALE	183	Ovaries	PMS2	167	1	0.00598802395209581
60	FEMALE	183	Ovaries	PMS2	140	0	0
65	FEMALE	183	Ovaries	PMS2	86	0	0
70	FEMALE	183	Ovaries	PMS2	42	0	0
75	FEMALE	183	Ovaries	PMS2	20	0	0
25	FEMALE	154	Sigmoid/rectum	MLH1	707	0	0
30	FEMALE	154	Sigmoid/rectum	MLH1	1023	0	0
35	FEMALE	154	Sigmoid/rectum	MLH1	1351	2	0.00148038490007402
40	FEMALE	154	Sigmoid/rectum	MLH1	1637	3	0.00183262064752596
45	FEMALE	154	Sigmoid/rectum	MLH1	1701	1	0.000587889476778366
50	FEMALE	154	Sigmoid/rectum	MLH1	1599	1	0.000625390869293308
55	FEMALE	154	Sigmoid/rectum	MLH1	1313	4	0.00304645849200305
60	FEMALE	154	Sigmoid/rectum	MLH1	1058	2	0.00189035916824197
65	FEMALE	154	Sigmoid/rectum	MLH1	751	3	0.00399467376830892
70	FEMALE	154	Sigmoid/rectum	MLH1	498	2	0.00401606425702811
75	FEMALE	154	Sigmoid/rectum	MLH1	348	1	0.0028735632183908
25	FEMALE	154	Sigmoid/rectum	MSH2	562	0	0
30	FEMALE	154	Sigmoid/rectum	MSH2	762	0	0
35	FEMALE	154	Sigmoid/rectum	MSH2	1005	1	0.00099502487562189
40	FEMALE	154	Sigmoid/rectum	MSH2	1213	3	0.00247320692497939
45	FEMALE	154	Sigmoid/rectum	MSH2	1263	2	0.00158353127474268
50	FEMALE	154	Sigmoid/rectum	MSH2	1226	5	0.00407830342577488
55	FEMALE	154	Sigmoid/rectum	MSH2	1188	2	0.00168350168350168
60	FEMALE	154	Sigmoid/rectum	MSH2	1020	6	0.00588235294117647
65	FEMALE	154	Sigmoid/rectum	MSH2	681	7	0.0102790014684288
70	FEMALE	154	Sigmoid/rectum	MSH2	435	3	0.00689655172413793
75	FEMALE	154	Sigmoid/rectum	MSH2	226	2	0.00884955752212389
25	FEMALE	154	Sigmoid/rectum	MSH6	74	0	0
30	FEMALE	154	Sigmoid/rectum	MSH6	133	0	0
35	FEMALE	154	Sigmoid/rectum	MSH6	206	0	0
40	FEMALE	154	Sigmoid/rectum	MSH6	283	0	0
45	FEMALE	154	Sigmoid/rectum	MSH6	321	0	0
50	FEMALE	154	Sigmoid/rectum	MSH6	376	0	0
55	FEMALE	154	Sigmoid/rectum	MSH6	382	1	0.00261780104712042
60	FEMALE	154	Sigmoid/rectum	MSH6	351	3	0.00854700854700855
65	FEMALE	154	Sigmoid/rectum	MSH6	267	0	0
70	FEMALE	154	Sigmoid/rectum	MSH6	179	0	0
75	FEMALE	154	Sigmoid/rectum	MSH6	106	0	0
25	FEMALE	154	Sigmoid/rectum	PMS2	33	0	0
30	FEMALE	154	Sigmoid/rectum	PMS2	41	0	0
35	FEMALE	154	Sigmoid/rectum	PMS2	80	0	0
40	FEMALE	154	Sigmoid/rectum	PMS2	97	0	0
45	FEMALE	154	Sigmoid/rectum	PMS2	133	0	0
50	FEMALE	154	Sigmoid/rectum	PMS2	169	0	0
55	FEMALE	154	Sigmoid/rectum	PMS2	207	0	0
60	FEMALE	154	Sigmoid/rectum	PMS2	186	1	0.00537634408602151
65	FEMALE	154	Sigmoid/rectum	PMS2	135	0	0
70	FEMALE	154	Sigmoid/rectum	PMS2	62	0	0
75	FEMALE	154	Sigmoid/rectum	PMS2	39	0	0
25	FEMALE	188	Urinary bladder	MLH1	723	0	0
30	FEMALE	188	Urinary bladder	MLH1	1058	0	0
35	FEMALE	188	Urinary bladder	MLH1	1415	0	0
40	FEMALE	188	Urinary bladder	MLH1	1689	0	0
45	FEMALE	188	Urinary bladder	MLH1	1754	1	0.000570125427594071
50	FEMALE	188	Urinary bladder	MLH1	1663	0	0
55	FEMALE	188	Urinary bladder	MLH1	1409	2	0.0014194464158978
60	FEMALE	188	Urinary bladder	MLH1	1150	1	0.000869565217391304
65	FEMALE	188	Urinary bladder	MLH1	771	2	0.00259403372243839
70	FEMALE	188	Urinary bladder	MLH1	524	3	0.00572519083969466
75	FEMALE	188	Urinary bladder	MLH1	357	1	0.00280112044817927
25	FEMALE	188	Urinary bladder	MSH2	576	0	0
30	FEMALE	188	Urinary bladder	MSH2	780	1	0.00128205128205128
35	FEMALE	188	Urinary bladder	MSH2	1024	0	0
40	FEMALE	188	Urinary bladder	MSH2	1274	1	0.000784929356357928
45	FEMALE	188	Urinary bladder	MSH2	1380	3	0.00217391304347826
50	FEMALE	188	Urinary bladder	MSH2	1379	3	0.00217548948513416
55	FEMALE	188	Urinary bladder	MSH2	1303	0	0
60	FEMALE	188	Urinary bladder	MSH2	1094	4	0.0036563071297989
65	FEMALE	188	Urinary bladder	MSH2	740	3	0.00405405405405405
70	FEMALE	188	Urinary bladder	MSH2	434	1	0.00230414746543779
75	FEMALE	188	Urinary bladder	MSH2	230	1	0.00434782608695652
25	FEMALE	188	Urinary bladder	MSH6	74	0	0
30	FEMALE	188	Urinary bladder	MSH6	137	0	0
35	FEMALE	188	Urinary bladder	MSH6	225	0	0
40	FEMALE	188	Urinary bladder	MSH6	312	0	0
45	FEMALE	188	Urinary bladder	MSH6	349	0	0
50	FEMALE	188	Urinary bladder	MSH6	394	0	0
55	FEMALE	188	Urinary bladder	MSH6	405	1	0.00246913580246914
60	FEMALE	188	Urinary bladder	MSH6	376	0	0
65	FEMALE	188	Urinary bladder	MSH6	290	0	0
70	FEMALE	188	Urinary bladder	MSH6	198	0	0
75	FEMALE	188	Urinary bladder	MSH6	118	0	0
25	FEMALE	188	Urinary bladder	PMS2	34	0	0
30	FEMALE	188	Urinary bladder	PMS2	41	0	0
35	FEMALE	188	Urinary bladder	PMS2	82	0	0
40	FEMALE	188	Urinary bladder	PMS2	99	0	0
45	FEMALE	188	Urinary bladder	PMS2	138	0	0
50	FEMALE	188	Urinary bladder	PMS2	176	0	0
55	FEMALE	188	Urinary bladder	PMS2	214	0	0
60	FEMALE	188	Urinary bladder	PMS2	190	0	0
65	FEMALE	188	Urinary bladder	PMS2	140	0	0
70	FEMALE	188	Urinary bladder	PMS2	69	0	0
75	FEMALE	188	Urinary bladder	PMS2	39	0	0
25	MALE	189	Ureter/kidney	MLH1	605	0	0
30	MALE	189	Ureter/kidney	MLH1	1044	0	0
35	MALE	189	Ureter/kidney	MLH1	1319	0	0
40	MALE	189	Ureter/kidney	MLH1	1522	0	0
45	MALE	189	Ureter/kidney	MLH1	1567	3	0.001914486279515
50	MALE	189	Ureter/kidney	MLH1	1415	1	0.000706713780918728
55	MALE	189	Ureter/kidney	MLH1	1196	1	0.000836120401337793
60	MALE	189	Ureter/kidney	MLH1	915	1	0.00109289617486339
65	MALE	189	Ureter/kidney	MLH1	650	2	0.00307692307692308
70	MALE	189	Ureter/kidney	MLH1	417	1	0.00239808153477218
75	MALE	189	Ureter/kidney	MLH1	174	1	0.00574712643678161
25	MALE	189	Ureter/kidney	MSH2	440	0	0
30	MALE	189	Ureter/kidney	MSH2	721	0	0
35	MALE	189	Ureter/kidney	MSH2	998	0	0
40	MALE	189	Ureter/kidney	MSH2	1199	3	0.00250208507089241
45	MALE	189	Ureter/kidney	MSH2	1288	3	0.00232919254658385
50	MALE	189	Ureter/kidney	MSH2	1244	7	0.00562700964630225
55	MALE	189	Ureter/kidney	MSH2	1021	7	0.00685602350636631
60	MALE	189	Ureter/kidney	MSH2	741	9	0.0121457489878543
65	MALE	189	Ureter/kidney	MSH2	523	3	0.00573613766730402
70	MALE	189	Ureter/kidney	MSH2	296	1	0.00337837837837838
75	MALE	189	Ureter/kidney	MSH2	98	0	0
25	MALE	189	Ureter/kidney	MSH6	72	0	0
30	MALE	189	Ureter/kidney	MSH6	155	0	0
35	MALE	189	Ureter/kidney	MSH6	239	0	0
40	MALE	189	Ureter/kidney	MSH6	248	0	0
